Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
1. Good,8/27/16,10,rent,Consumer,72.7,Bank of America,2300,1045.68,1.55,139099.5073,Yes
2. Average,8/26/16,10,rent,Consumer,35.3,,4895,7605,8.73,79717.66274,Yes
1. Good,8/25/16,,own,Business,33.9,Bank of America,,1139.67,2.04,192684.2781,Yes
1. Good,8/24/16,10,rent,Consumer,37.4,Bank of America,1465,0,0,337591.1875,Yes
1. Good,8/23/16,2,mortgage,Consumer,40.8,,1520,0,0,192684.2781,Yes
1. Good,8/22/16,10,rent,Consumer,29.9,Citigroup,2850,0,0,266972.5707,Yes
1. Good,8/21/16,2,mortgage,Consumer,44.7,,1700,10029,21.79,119907.9957,Yes
1. Good,8/20/16,,own,Consumer,41.2,The Bank of New York Mellon,1800,19500,48.51,237342.9511,Yes
2. Average,8/19/16,4,rent,Consumer,29,Citigroup,2928,49842,29.87,580466.9183,Yes
1. Good,8/18/16,1,mortgage,Consumer,50.5,,1340,6900,47.92,74101.31492,Yes
1. Good,8/17/16,10,mortgage,Consumer,54.3,,4500,120000.36,71.7,1195136.113,Yes
1. Good,8/16/16,2,rent,Consumer,36.8,,1700,8280,18.7,114587.6462,Yes
2. Average,8/15/16,,rent,Consumer,49.9,The Bank of New York Mellon,2200,1105.83,1.9,177970.5216,Yes
2. Average,8/14/16,7,rent,Consumer,35.1,,3733,0,0,215062.7366,Yes
2. Average,8/13/16,9,mortgage,Business,45.7,,,0,0,198366.0308,Yes
1. Good,8/12/16,10,mortgage,Consumer,51.9,HSBC,1400,0,0,231060.1503,Yes
1. Good,8/11/16,7,rent,Consumer,69.6,Wells Fargo,5231,29391,73.68,389194.7405,Yes
1. Good,8/10/16,10,mortgage,Consumer,64.8,Wells Fargo,4000,2557.95,2.01,352350.522,Yes
1. Good,8/9/16,7,mortgage,Consumer,38.7,PNC,1585,0,0,193611.2146,Yes
1. Good,8/8/16,10,rent,Consumer,42.1,Wells Fargo,5500,0,0,312353.1284,Yes
1. Good,8/7/16,10,mortgage,Consumer,56.8,Wells Fargo,14346,45241.08,45.26,657207.6211,Yes
1. Good,8/6/16,10,mortgage,Consumer,25.7,Citigroup,2000,0,0,266491.1624,Yes
2. Average,8/5/16,4,rent,Consumer,53.5,Wells Fargo,2897,0,0,187036.282,Yes
1. Good,8/4/16,6,mortgage,Consumer,57.3,,11860,24000,34.19,310272.7541,Yes
1. Good,8/3/16,9,mortgage,Consumer,24.1,US Bancorp,2250,37257,67.42,409848.4542,Yes
2. Average,8/2/16,4,mortgage,Consumer,26.8,Citigroup,2142,12302.76,20,153791.1966,Yes
2. Average,8/1/16,3,rent,,,,0,1329.93,1.75,176759.4607,Yes
2. Average,7/31/16,8,mortgage,Consumer,21.9,JPMorgan Chase,2000,12000,12.9,158583.1054,Yes
1. Good,7/30/16,10,rent,Consumer,37.3,Bank of America,2000,1821.69,2.94,287186.3258,Yes
1. Good,7/29/16,,mortgage,Consumer,49.8,Bank of America,4500,4768.53,12.63,66425.23118,Yes
1. Good,7/28/16,6,rent,Consumer,48.6,,3000,22866,20.39,250171.4029,Yes
1. Good,7/27/16,,mortgage,Consumer,28.4,The Bank of New York Mellon,1370,3870,10,47230.88222,Yes
1. Good,7/26/16,,mortgage,Business,49.5,The Bank of New York Mellon,,1845.12,4.3,307462.0438,Yes
1. Good,7/25/16,2,rent,Consumer,24.3,JPMorgan Chase,1700,8550,12.47,90118.32536,Yes
1. Good,7/24/16,,mortgage,Consumer,54.7,The Bank of New York Mellon,2300,16359,52.17,165951.5287,Yes
1. Good,7/23/16,10,mortgage,Consumer,33.8,Citigroup,14902,0,0,225141.2269,Yes
2. Average,7/22/16,10,mortgage,Consumer,58.7,PNC,2138.68,4500,10.47,57043.01165,Yes
1. Good,7/21/16,,mortgage,Consumer,50.6,Bank of America,5000,45000,27.08,643813.6796,Yes
1. Good,7/20/16,2,mortgage,Business,42.6,,,8676.96,15,114964.9903,Yes
1. Good,7/19/16,7,mortgage,Consumer,37.2,Wells Fargo,,0,0,171962.3947,Yes
1. Good,7/18/16,10,mortgage,Business,56.5,HSBC,,2666.52,1.86,427848.2603,Yes
1. Good,7/17/16,0,own,Business,69.8,,,3734.49,2.38,437341.4574,Yes
1. Good,7/16/16,10,own,Consumer,42.1,Bank of America,0,15900,34.64,203102.9415,Yes
2. Average,7/15/16,7,own,Consumer,46.2,Citigroup,3400,45000,23.02,532831.1973,Yes
1. Good,7/14/16,1,own,Consumer,26.4,Citigroup,4000,6000,18.18,76944.58859,Yes
1. Good,7/13/16,,own,Consumer,32.7,PNC,1200,1426.17,3.53,194765.006,Yes
1. Good,7/12/16,5,rent,Consumer,35.3,,2266,17926.2,30,242842.3335,Yes
1. Good,7/11/16,1,mortgage,Consumer,60.1,HSBC,3550,0,0,129424.2768,Yes
2. Average,7/10/16,3,rent,Business,38.1,,,0,0,211321.3873,Yes
2. Average,7/9/16,8,own,Business,40,,,0,0,181213.3401,Yes
1. Good,7/8/16,1,own,Consumer,42.5,HSBC,3700,6000,3.77,89316.96749,Yes
1. Good,7/7/16,10,mortgage,Consumer,23.8,PNC,1375,0,0,250646.4958,Yes
1. Good,7/6/16,5,rent,Consumer,55.7,Citigroup,0,1202.55,2.36,170561.5189,Yes
1. Good,7/5/16,1,rent,Consumer,27.7,Foreign Bank,2500,0,0,157639.1021,Yes
1. Good,7/4/16,10,rent,Consumer,33.8,,8000,155201.32,90,1605948.144,Yes
1. Good,7/3/16,10,rent,Consumer,58,Bank of America,1900,9000,26.96,109964.8978,Yes
2. Average,7/2/16,10,rent,Consumer,41.4,HSBC,6000,49800,29.33,526084.445,Yes
2. Average,7/1/16,6,mortgage,Business,56.3,,,0,0,158483.4055,Yes
1. Good,6/30/16,10,mortgage,Business,36.2,JPMorgan Chase,,1722.9,3.01,286695.8174,Yes
1. Good,6/29/16,,mortgage,Consumer,35.1,The Bank of New York Mellon,2730,126600.54,93.32,1502403.991,Yes
1. Good,6/28/16,7,rent,Consumer,34.4,,3124.17,1001.7,2.59,157639.1021,Yes
1. Good,6/27/16,10,mortgage,Consumer,41.1,PNC,3154,73470.03,76.56,756711.3124,Yes
1. Good,6/26/16,9,mortgage,Consumer,26.3,Foreign Bank,1400,38598,81.09,559502.8423,Yes
1. Good,6/25/16,,rent,Business,45.3,The Bank of New York Mellon,,931.41,2.52,171937.7283,Yes
2. Average,6/24/16,10,rent,Consumer,24.8,The Bank of New York Mellon,2300,3000,4.35,392823.5385,Yes
1. Good,6/23/16,4,rent,Consumer,43.9,Wells Fargo,,0,0,210510.423,Yes
1. Good,6/22/16,10,mortgage,Consumer,45.5,,5940,0,0,218229.4288,Yes
1. Good,6/21/16,9,own,Consumer,42.9,JPMorgan Chase,4800,36198,48.34,436783.8004,Yes
1. Good,6/20/16,1,own,Consumer,18.3,,1201,6003,21.99,81571.58244,No
2. Average,6/19/16,10,mortgage,Business,49.6,,,461.85,3.08,300439.72,Yes
1. Good,6/18/16,0,own,Business,45,Citigroup,,3296.13,3.71,385161.1647,Yes
1. Good,6/17/16,10,mortgage,Consumer,57.3,Wells Fargo,6800,57729,83.51,684261.7792,Yes
1. Good,6/16/16,10,rent,Business,43.8,,,1157.97,2.94,156195.88,Yes
1. Good,6/15/16,5,own,Consumer,22.4,PNC,1137,17850,39.8,226105.0607,Yes
1. Good,6/14/16,9,mortgage,Business,44.1,Wells Fargo,,746.19,2.02,387103.8932,Yes
2. Average,6/13/16,10,own,Business,34.2,,,1550.97,2.94,241067.8339,Yes
1. Good,6/12/16,1,rent,Consumer,56.2,US Bancorp,3000,896.82,2.44,365951.9229,Yes
1. Good,6/11/16,10,mortgage,Consumer,38.4,,2000,0,0,305453.7277,Yes
1. Good,6/10/16,2,mortgage,Consumer,53,,2000,8606.64,14.8,93181.79452,Yes
1. Good,6/9/16,2,rent,Consumer,34.8,US Bancorp,1522,9435,13.9,123575.6239,Yes
1. Good,6/8/16,4,rent,Consumer,56.1,Wells Fargo,7000,15201,34.78,161501.5287,Yes
1. Good,6/7/16,,mortgage,Business,43.8,,,1705.83,2.77,254416.934,Yes
1. Good,6/6/16,3,mortgage,Consumer,58.8,Citigroup,4200,13872,48.05,141180.3109,Yes
1. Good,6/5/16,10,mortgage,Business,38.6,JPMorgan Chase,,1680.33,1.87,237342.9511,Yes
2. Average,6/4/16,3,rent,Business,35.5,,,1907.85,3.12,341453.1263,Yes
1. Good,6/3/16,9,mortgage,Consumer,39.6,,10000,0,0,191079.1803,Yes
1. Good,6/2/16,7,mortgage,Consumer,40.1,HSBC,3200,27105,45.1,382260.8454,Yes
1. Good,6/1/16,2,mortgage,Consumer,26.8,,1200,7200,21.33,101637.163,Yes
1. Good,5/31/16,3,rent,Business,50.5,,,1698.24,2.63,299397.3892,Yes
1. Good,5/30/16,10,mortgage,Consumer,56.2,,1850,0,0,225331.6219,Yes
1. Good,5/29/16,7,own,Consumer,66.2,,2759,25869,77.52,387695.2473,Yes
1. Good,5/28/16,1,own,Consumer,38.2,Foreign Bank,1500,4708.5,10,59438.60614,Yes
2. Average,5/27/16,10,mortgage,Consumer,24.4,,2400,1225.98,1.83,174119.6701,Yes
1. Good,5/26/16,0,rent,Business,44,,,1898.58,2.36,337552.9079,Yes
1. Good,5/25/16,10,mortgage,Consumer,23.9,Bank of America,1400,12000,18.51,135134.3411,Yes
1. Good,5/24/16,10,rent,Consumer,39.2,Bank of America,1320.2,6900,14.47,86175.78065,Yes
2. Average,5/23/16,4,mortgage,Consumer,20.4,JPMorgan Chase,1771.78,5815.2,10,76270.21581,Yes
1. Good,5/22/16,0,own,Consumer,45.8,,18238,3376.14,1.77,502032.0057,Yes
1. Good,5/21/16,0,own,Business,37.8,,,3585.96,1.78,559502.8423,Yes
1. Good,5/20/16,10,mortgage,Consumer,55.9,JPMorgan Chase,3000,1264.44,2.57,201929.3939,Yes
2. Average,5/19/16,7,rent,Consumer,29.1,,2500,90000,42.83,975671.1671,Yes
1. Good,5/18/16,1,own,Consumer,61.5,Citigroup,1239,4588.32,17.38,54264.35754,Yes
1. Good,5/17/16,4,mortgage,Business,43.8,,,15000,16.13,163275.9309,Yes
1. Good,5/16/16,7,rent,Consumer,39.9,,19072,29999.88,29.94,352350.522,Yes
2. Average,5/15/16,1,rent,Business,25.3,Wells Fargo,,0,0,158583.1054,Yes
1. Good,5/14/16,8,mortgage,Consumer,57.6,,5000,33591,49.98,357068.0041,Yes
1. Good,5/13/16,9,mortgage,Consumer,26.5,Wells Fargo,2000,37047,70,477727.2696,Yes
1. Good,5/12/16,10,mortgage,Consumer,29.6,Bank of America,2350,15282.75,26.68,210335.4714,Yes
1. Good,5/11/16,5,own,Consumer,32.4,Foreign Bank,5800,17851.05,35,228910.8136,Yes
1. Good,5/10/16,9,mortgage,Consumer,61.1,PNC,930,35493,44.09,365691.3769,Yes
1. Good,5/9/16,4,mortgage,Business,44.1,Wells Fargo,,994.74,2.14,135134.3411,Yes
2. Average,5/8/16,10,mortgage,Consumer,23.1,PNC,1484.91,1012.53,1.88,171316.9039,Yes
1. Good,5/7/16,,rent,Business,45.3,The Bank of New York Mellon,,931.41,2.52,157569.6943,Yes
1. Good,5/6/16,3,rent,Consumer,52.4,Citigroup,1100,12000,28.88,134030.8146,Yes
2. Average,5/5/16,5,rent,Business,26.1,,,2359.17,3.08,422061.4378,Yes
1. Good,5/4/16,2,rent,Consumer,47.5,JPMorgan Chase,2050,1230.72,2.29,214950.7873,Yes
1. Good,5/3/16,5,rent,Consumer,57.6,JPMorgan Chase,3000,17340,29.64,191721.4484,Yes
1. Good,5/2/16,6,mortgage,Business,30.7,Wells Fargo,,953.04,1.61,177569.07,Yes
1. Good,5/1/16,7,mortgage,Business,48.9,Foreign Bank,,2757.45,3.92,376889.1694,Yes
1. Good,4/30/16,3,mortgage,Consumer,31.5,,2000,14100,24.03,193761.2148,Yes
1. Good,4/29/16,3,rent,Business,29.9,HSBC,,1281.27,1.76,209228.4051,Yes
1. Good,4/28/16,5,rent,Consumer,41.7,,1390,19500,24.53,225141.2269,Yes
1. Good,4/27/16,10,rent,Business,46.4,,,1435.2,2,184077.8684,Yes
1. Good,4/26/16,0,own,Consumer,58.1,,6800,2975.7,7,466463.0414,Yes
1. Good,4/25/16,5,mortgage,Consumer,63.6,,1550,20417.4,30,284270.1552,Yes
1. Good,4/24/16,10,own,Consumer,24.7,Bank of America,2000,37350,80.58,435562.6379,Yes
1. Good,4/23/16,,rent,Business,47.3,Bank of America,,2610.48,2.04,365322.5271,Yes
2. Average,4/22/16,3,rent,Business,39.7,,,2314.95,2.92,289327.8659,Yes
1. Good,4/21/16,10,rent,Consumer,25.8,Bank of America,2115,12000,13.65,152602.2421,Yes
1. Good,4/20/16,2,rent,Consumer,41.8,,2700,0,0,153237.8909,No
1. Good,4/19/16,10,rent,Consumer,27.6,Bank of America,1666,2397,5.79,346375.5112,Yes
1. Good,4/18/16,0,own,Business,59.1,,,3369.36,2.04,479784.9882,Yes
1. Good,4/17/16,6,rent,Consumer,51.3,,9252,0,0,223833.037,Yes
2. Average,4/16/16,5,mortgage,Consumer,36.7,Citigroup,2231,60000,34.01,891272.882,Yes
1. Good,4/15/16,10,own,Consumer,59.8,Bank of America,724.63,13502.16,19.74,179930.1438,Yes
1. Good,4/14/16,10,mortgage,Consumer,56.2,HSBC,4000,84000,84.85,1068918.068,Yes
1. Good,4/13/16,6,rent,Consumer,38,PNC,15458,23755.38,22.17,335960.445,Yes
2. Average,4/12/16,2,rent,Consumer,48.9,,2597,14970,29.37,191401.5176,Yes
1. Good,4/11/16,2,mortgage,Consumer,38.3,Wells Fargo,1553,0,0,195385.4291,Yes
3. Risk,4/10/16,7,rent,Consumer,33.2,Bank of America,1948.69,0,0,181956.1332,Yes
1. Good,4/9/16,2,mortgage,Consumer,55.4,Citigroup,1180,7342.02,8.8,103621.1328,Yes
1. Good,4/8/16,3,mortgage,Business,60.1,Foreign Bank,,2268.48,4.06,336057.6556,Yes
1. Good,4/7/16,10,mortgage,Consumer,21.8,,780,971.34,1.66,129636.308,Yes
1. Good,4/6/16,10,rent,Consumer,38.1,Bank of America,2200,33291,41.1,439080.2357,Yes
1. Good,4/5/16,10,rent,Consumer,28.8,Bank of America,1700,0,0,248203.0457,Yes
1. Good,4/4/16,9,mortgage,Consumer,51.3,Wells Fargo,2760,0,0,191721.4484,Yes
1. Good,4/3/16,2,rent,Consumer,60.4,Citigroup,1500,9345.03,35,129482.559,Yes
1. Good,4/2/16,10,mortgage,Consumer,45,HSBC,3000,896.82,2.44,446820.8245,Yes
1. Good,4/1/16,4,rent,Consumer,36.3,Wells Fargo,2200,15000,14.89,175653.1267,Yes
1. Good,3/31/16,,rent,Business,49.3,The Bank of New York Mellon,,2543.79,4.15,365951.9229,Yes
1. Good,3/30/16,7,rent,Consumer,43.8,Wells Fargo,4750,0,0,165951.5287,Yes
2. Average,3/29/16,9,mortgage,Business,57.2,,,1522.74,2.94,256689.3687,No
2. Average,3/28/16,4,mortgage,Consumer,25.4,PNC,2527,42000,44.16,434471.8533,Yes
1. Good,3/27/16,0,mortgage,Consumer,52.3,Wells Fargo,2000,0,0,150719.8257,Yes
2. Average,3/26/16,10,mortgage,Consumer,59.8,Wells Fargo,2452,0,0,228910.8136,Yes
3. Risk,3/25/16,7,mortgage,Consumer,54.8,,3150,0,0,184077.8684,Yes
1. Good,3/24/16,3,mortgage,Consumer,32.3,Wells Fargo,1300,12000,16.67,146642.95,Yes
1. Good,3/23/16,10,mortgage,Consumer,41.8,,3700,40500,67.5,506026.7236,Yes
2. Average,3/22/16,10,mortgage,Business,44.3,,,257.25,2.86,258149.5119,Yes
1. Good,3/21/16,,rent,Consumer,53.8,The Bank of New York Mellon,2400,9000,12.92,96664.3436,Yes
1. Good,3/20/16,10,mortgage,Consumer,43.8,Bank of America,3520,13461,18.32,144775.5501,Yes
2. Average,3/19/16,9,mortgage,Consumer,48.8,Wells Fargo,1520,32670,31.21,385597.7025,Yes
1. Good,3/18/16,,mortgage,Business,37,The Bank of New York Mellon,,21003.63,18.65,226380.6578,Yes
2. Average,3/17/16,10,mortgage,Consumer,50.7,The Bank of New York Mellon,3800,4500,6.82,61648.76253,Yes
1. Good,3/16/16,5,rent,Business,37.8,Citigroup,,1612.65,1.92,189091.9496,Yes
2. Average,3/15/16,8,mortgage,Consumer,22.7,,2800,90000,44.79,1348101.522,Yes
1. Good,3/14/16,10,rent,Consumer,47.8,Citigroup,0,66474,89.86,804334.4955,Yes
1. Good,3/13/16,7,mortgage,Consumer,57.8,Wells Fargo,2068,28902,65.83,427980.4968,Yes
2. Average,3/12/16,10,rent,Consumer,37.9,PNC,1766,0,0,183442.6327,Yes
3. Risk,3/11/16,3,rent,,,,0,15004.98,16.3,164276.4683,Yes
1. Good,3/10/16,10,rent,Consumer,48.7,Bank of America,1471,22350,55.39,329785.561,No
1. Good,3/9/16,10,own,Consumer,55.3,Bank of America,1840,12000,18.52,138526.2247,Yes
2. Average,3/8/16,10,rent,Business,53,,,1997.04,2.97,274290.5571,Yes
1. Good,3/7/16,2,mortgage,Consumer,38.8,,2720,9000,12.58,121197.4198,Yes
2. Average,3/6/16,2,mortgage,Consumer,34.2,,2900,7470,10,82746.92573,Yes
1. Good,3/5/16,7,mortgage,Consumer,37.3,Wells Fargo,4000,27000,53.32,339727.2615,Yes
1. Good,3/4/16,6,rent,Consumer,66,JPMorgan Chase,2650,24900,67.48,354271.4294,Yes
3. Risk,3/3/16,9,mortgage,Consumer,28.8,HSBC,3000,0,0,217944.0634,Yes
1. Good,3/2/16,2,rent,Business,37.9,HSBC,,667.65,0.91,401440.848,Yes
1. Good,3/1/16,,own,Business,45.1,The Bank of New York Mellon,,2011.26,1.89,252628.114,Yes
1. Good,2/29/16,2,rent,Consumer,39.3,Citigroup,1939,7200,19.35,96066.00976,Yes
1. Good,2/28/16,0,mortgage,Business,42.8,JPMorgan Chase,,0,0,171937.7283,Yes
1. Good,2/27/16,0,own,Consumer,38.2,,3550,0,0,133648.466,No
1. Good,2/26/16,10,mortgage,Consumer,46.6,Citigroup,1560,52200,58.19,581644.2559,Yes
1. Good,2/25/16,8,rent,Business,51.3,Citigroup,,30910.5,15,416895.9448,Yes
2. Average,2/24/16,10,rent,Consumer,26.3,,1368,0,0,265941.8934,Yes
1. Good,2/23/16,7,rent,Consumer,22.8,Citigroup,1250,25728.27,33.37,314285.097,Yes
1. Good,2/22/16,10,mortgage,Consumer,25.7,Bank of America,2000,1805.97,1.88,305453.7277,Yes
1. Good,2/21/16,3,rent,Consumer,42.8,Foreign Bank,4291,11633.16,24.33,133261.0291,Yes
2. Average,2/20/16,5,mortgage,Consumer,51.2,Wells Fargo,3200,0,0,191847.6698,Yes
1. Good,2/19/16,1,rent,Consumer,59.3,US Bancorp,2428,1103.85,2.13,152622.8534,Yes
1. Good,2/18/16,0,own,Consumer,52.1,,4000,3002.61,4.56,450283.6599,Yes
2. Average,2/17/16,10,mortgage,Consumer,37.7,Citigroup,1512,36000,40.54,537306.809,Yes
1. Good,2/16/16,0,own,Consumer,34.3,HSBC,1178,3000,6.25,346044.7283,Yes
1. Good,2/15/16,6,mortgage,Consumer,47.8,,1500,0,0,206996.8906,Yes
2. Average,2/14/16,3,rent,Consumer,27.7,Wells Fargo,2170,0,0,186938.5278,Yes
2. Average,2/13/16,10,mortgage,Business,39.8,,,0,0,212813.515,Yes
1. Good,2/12/16,2,mortgage,Consumer,53.4,JPMorgan Chase,3500,9000,18.84,94101.11186,Yes
1. Good,2/11/16,,own,Business,31.3,JPMorgan Chase,,1862.76,1.71,266424.943,Yes
1. Good,2/10/16,3,rent,Consumer,55.2,JPMorgan Chase,5000,12000,19.21,145259.3919,Yes
1. Good,2/9/16,0,rent,Business,42.8,Citigroup,,2361.24,2.09,420509.8849,Yes
1. Good,2/8/16,3,mortgage,Consumer,36.8,US Bancorp,0,13200,18.03,148761.2367,Yes
1. Good,2/7/16,9,mortgage,Business,64.7,,,35112,28,358958.2912,Yes
1. Good,2/6/16,10,rent,Consumer,64.4,PNC,2500,78000,83.87,820286.223,Yes
1. Good,2/5/16,,mortgage,Business,47.8,Wells Fargo,,878.22,2.38,313825.8946,Yes
1. Good,2/4/16,10,mortgage,Business,54.3,,,1248.84,2.57,160715.7365,Yes
1. Good,2/3/16,4,mortgage,Business,45.9,Foreign Bank,,1721.94,1.74,228064.8448,Yes
1. Good,2/2/16,10,rent,Consumer,44.9,US Bancorp,3326,0,0,239644.9107,Yes
1. Good,2/1/16,10,mortgage,Consumer,33.1,HSBC,2590.33,0,0,299397.3892,No
2. Average,1/31/16,8,own,Consumer,32.8,,3239,3466.32,2.22,445085.7265,Yes
1. Good,1/30/16,7,mortgage,Consumer,34.5,Foreign Bank,0,30000,41.67,352242.4366,Yes
1. Good,1/29/16,6,mortgage,Consumer,42.8,Wells Fargo,1550,21099,45.28,261732.0886,Yes
1. Good,1/28/16,1,rent,Consumer,24.6,Citigroup,1300,6570,15.43,72846.62716,Yes
1. Good,1/27/16,4,rent,Consumer,25,PNC,2000,15000,22.84,224730.2971,No
1. Good,1/26/16,7,rent,Consumer,40.8,Foreign Bank,2437,25950,51.95,272773.668,Yes
1. Good,1/25/16,5,own,Consumer,33.2,,2802,17430.42,29.33,209626.6338,Yes
1. Good,1/24/16,4,own,Business,52.5,Citigroup,,1846.5,2.49,243953.0498,Yes
1. Good,1/23/16,1,own,Consumer,35.3,Citigroup,2400,4503,10.72,66001.10204,Yes
2. Average,1/22/16,10,rent,Consumer,44.2,PNC,2603,6000.3,9.78,75066.65334,Yes
1. Good,1/21/16,2,rent,Business,47.1,Citigroup,,1209.81,1.62,154763.3422,Yes
2. Average,1/20/16,10,rent,Consumer,23,US Bancorp,1500,9000,10.64,111926.1907,Yes
2. Average,1/19/16,5,rent,Business,25.3,,,0,0,159982.5324,Yes
2. Average,1/18/16,8,rent,Consumer,34.5,Citigroup,1627,17799,24.79,236697.7357,Yes
1. Good,1/17/16,7,rent,Consumer,74.2,,1168,27000,69.23,323963.537,Yes
1. Good,1/16/16,10,mortgage,Consumer,40,Wells Fargo,2411,53700.03,34.96,595407.7243,Yes
1. Good,1/15/16,8,rent,Consumer,45.9,,1700,0,0,181265.5149,Yes
1. Good,1/14/16,5,rent,Consumer,64.4,HSBC,4000,19500,22.61,259443.807,Yes
1. Good,1/13/16,1,own,Consumer,30,,1600,6000.72,7.31,69463.53722,Yes
1. Good,1/12/16,2,rent,Consumer,47.3,HSBC,1742,7464.36,16.71,98051.50519,Yes
1. Good,1/11/16,10,mortgage,Consumer,45.8,,1700,0,0,261732.0886,Yes
1. Good,1/10/16,1,own,Consumer,44.7,Wells Fargo,2500,6000,13.9,85456.99042,Yes
2. Average,1/9/16,5,mortgage,Consumer,61.9,,3450.5,0,0,203332.4176,Yes
1. Good,1/8/16,6,rent,Consumer,42.2,HSBC,1400,23841,31.86,271171.712,Yes
1. Good,1/7/16,8,own,Consumer,53.3,,2700,31200,20.63,464218.7835,Yes
1. Good,1/6/16,6,mortgage,Consumer,34.5,Citigroup,2380,21001.44,23.37,233039.7815,Yes
1. Good,1/5/16,6,own,Business,39.1,,,685.98,1.84,388426.6748,Yes
1. Good,1/4/16,5,own,Business,44.1,Wells Fargo,,746.19,2.02,384747.3918,Yes
1. Good,1/3/16,10,mortgage,Consumer,45.5,Citigroup,2190.42,0,0,205113.919,Yes
1. Good,1/2/16,10,rent,Consumer,41.8,Citigroup,945,60000,71.43,762302.1213,Yes
1. Good,1/1/16,10,rent,Consumer,41.7,US Bancorp,2629,44400,59.68,479116.0147,Yes
1. Good,12/31/15,5,rent,Consumer,51.8,JPMorgan Chase,3250,17091,30,198366.0308,Yes
3. Risk,12/30/15,5,rent,Consumer,36.6,Bank of America,4000,0,0,224730.2971,Yes
1. Good,12/29/15,9,mortgage,Consumer,26.7,Citigroup,2000,1562.4,1.68,226105.0607,Yes
1. Good,12/28/15,10,mortgage,Consumer,58.8,US Bancorp,3000,1170.66,2.53,195876.1033,Yes
1. Good,12/27/15,0,own,Consumer,22.8,Citigroup,1300,3090,7.56,439080.2357,Yes
1. Good,12/26/15,2,rent,Business,54,HSBC,,1274.79,1.58,204051.166,Yes
1. Good,12/25/15,8,mortgage,Consumer,63.8,,4000,30000,42.32,446252.9812,Yes
1. Good,12/24/15,10,mortgage,Consumer,37.5,Bank of America,3200,21004.8,21.88,285963.661,Yes
2. Average,12/23/15,10,rent,Consumer,21.8,The Bank of New York Mellon,3100,15000,18.96,208464.3093,Yes
2. Average,12/22/15,1,rent,Consumer,31,,1100,0,0,150460.3965,Yes
1. Good,12/21/15,,mortgage,Consumer,52.6,,0,0,0,295715.1656,Yes
1. Good,12/20/15,10,mortgage,Business,30,Citigroup,,1430.97,2.34,223833.037,Yes
1. Good,12/19/15,10,own,Consumer,35.8,Bank of America,1600,0,0,290626.5752,Yes
1. Good,12/18/15,2,mortgage,Consumer,63.8,,2332.83,9000,21.58,107456.9511,Yes
1. Good,12/17/15,10,rent,Consumer,31.9,Citigroup,2150,52893,74.43,627995.79,Yes
1. Good,12/16/15,3,rent,Business,30.4,HSBC,,969.9,2.28,125416.2802,Yes
2. Average,12/15/15,10,rent,Consumer,35.3,,6000,0,0,248177.4072,Yes
1. Good,12/14/15,10,mortgage,Consumer,38.8,JPMorgan Chase,3800,0,0,228064.8448,Yes
2. Average,12/13/15,9,mortgage,Consumer,28.2,,1290,0,0,230322.1948,Yes
1. Good,12/12/15,10,mortgage,Consumer,47.8,JPMorgan Chase,5300,149701.17,91.74,1585239.314,Yes
1. Good,12/11/15,6,rent,Consumer,25.1,,3200,22500,17.65,289938.9893,Yes
1. Good,12/10/15,6,rent,Consumer,32.6,,2100,22362,36.44,250954.8408,Yes
1. Good,12/9/15,10,rent,Consumer,54.3,,6000,50997.84,30.1,611371.4867,Yes
1. Good,12/8/15,10,mortgage,Business,43.4,,,1662.06,1.63,254972.5937,Yes
1. Good,12/7/15,6,mortgage,Consumer,26.2,PNC,2800,25419.03,28.85,258149.5119,Yes
1. Good,12/6/15,3,rent,Business,58.4,HSBC,,746.19,2.02,289630.2802,Yes
1. Good,12/5/15,,own,Business,39.3,JPMorgan Chase,,1178.73,1.91,170800.2329,Yes
1. Good,12/4/15,7,rent,Consumer,48.3,HSBC,2262,0,0,224302.0968,Yes
1. Good,12/3/15,5,rent,Consumer,44.7,Citigroup,2400,15837,28.6,169014.9685,Yes
1. Good,12/2/15,10,rent,Consumer,52.3,,3500,69912,88.59,972988.1181,Yes
2. Average,12/1/15,4,rent,Consumer,36,HSBC,2200,0,0,176106.2105,Yes
3. Risk,11/30/15,1,rent,Consumer,34.7,PNC,2400,8961,19.16,96263.08655,Yes
1. Good,11/29/15,0,rent,Business,32.7,US Bancorp,,1784.52,3.08,220636.6663,Yes
1. Good,11/28/15,10,rent,Consumer,54.1,Bank of America,2000,16638,38.13,176029.0433,Yes
1. Good,11/27/15,10,own,Consumer,42.4,Wells Fargo,3800,66126,78.6,903646.7032,Yes
1. Good,11/26/15,2,rent,Consumer,58.4,Citigroup,9200,7885.2,10,88085.3158,Yes
3. Risk,11/25/15,10,mortgage,Consumer,60.4,US Bancorp,2019,0,0,209626.6338,Yes
1. Good,11/24/15,10,mortgage,Consumer,40.6,,2580,69900,75.65,1045063.333,Yes
1. Good,11/23/15,10,own,Consumer,48.3,JPMorgan Chase,2200,72000,57.14,1047399.914,Yes
1. Good,11/22/15,8,own,Consumer,32.6,,1900,30000,50.86,427848.2603,Yes
2. Average,11/21/15,10,rent,Consumer,35.6,Citigroup,1546.44,6637.8,10,73374.39388,Yes
